seed,deadlock_found,new_constraints,total_constraints,iterations,trains_completed,trains_per_hr,cpu_time
507,0,0,49,1,588,3.5000,0.115
508,0,0,49,1,588,3.5000,0.121
509,0,0,49,1,582,3.4643,0.111
510,0,0,49,1,596,3.5476,0.119
511,0,0,49,1,593,3.5298,0.116
512,0,0,49,1,584,3.4762,0.114
513,0,0,49,1,604,3.5952,0.120
514,0,0,49,1,620,3.6905,0.117
515,0,0,49,1,599,3.5655,0.123
516,0,0,49,1,560,3.3333,0.118
517,0,0,49,1,621,3.6964,0.127
518,0,0,49,1,561,3.3393,0.122
519,0,0,49,1,613,3.6488,0.125
520,0,0,49,1,606,3.6071,0.119
521,0,0,49,1,609,3.6250,0.120
522,0,0,49,1,602,3.5833,0.118
523,0,0,49,1,586,3.4881,0.114
524,0,0,49,1,585,3.4821,0.139
525,0,0,49,1,607,3.6131,0.124
526,0,0,49,1,605,3.6012,0.119
527,0,0,49,1,578,3.4405,0.114
528,0,0,49,1,577,3.4345,0.143
529,0,0,49,1,572,3.4048,0.121
530,0,0,49,1,568,3.3810,0.108
531,0,0,49,1,582,3.4643,0.120
532,0,0,49,1,634,3.7738,0.129
533,0,0,49,1,597,3.5536,0.128
534,0,0,49,1,608,3.6190,0.129
535,0,0,49,1,586,3.4881,0.118
536,0,0,49,1,627,3.7321,0.123
537,0,0,49,1,595,3.5417,0.115
538,0,0,49,1,600,3.5714,0.120
539,0,0,49,1,585,3.4821,0.117
540,0,0,49,1,549,3.2679,0.115
541,0,0,49,1,576,3.4286,0.114
542,0,0,49,1,586,3.4881,0.113
543,0,0,49,1,584,3.4762,0.119
544,0,0,49,1,590,3.5119,0.116
545,0,0,49,1,568,3.3810,0.110
546,0,0,49,1,624,3.7143,0.143
547,0,0,49,1,589,3.5060,0.118
548,0,0,49,1,592,3.5238,0.118
549,0,0,49,1,589,3.5060,0.117
550,0,0,49,1,606,3.6071,0.120
551,0,0,49,1,592,3.5238,0.119
552,0,0,49,1,552,3.2857,0.115
553,0,0,49,1,578,3.4405,0.108
554,0,0,49,1,589,3.5060,0.115
555,0,0,49,1,599,3.5655,0.113
556,0,0,49,1,570,3.3929,0.113
557,0,0,49,1,644,3.8333,0.127
558,0,0,49,1,612,3.6429,0.126
559,0,0,49,1,605,3.6012,0.118
560,0,0,49,1,651,3.8750,0.131
561,0,0,49,1,559,3.3274,0.109
562,0,0,49,1,639,3.8036,0.135
563,0,0,49,1,571,3.3988,0.112
564,0,0,49,1,623,3.7083,0.120
565,0,0,49,1,586,3.4881,0.115
566,0,0,49,1,601,3.5774,0.117
567,0,0,49,1,619,3.6845,0.121
568,0,0,49,1,572,3.4048,0.111
569,0,0,49,1,617,3.6726,0.119
570,0,0,49,1,607,3.6131,0.121
571,0,0,49,1,613,3.6488,0.120
572,0,0,49,1,620,3.6905,0.118
573,0,0,49,1,580,3.4524,0.118
574,0,0,49,1,601,3.5774,0.114
575,0,0,49,1,549,3.2679,0.110
