rep,run_t,avg_speed,train_ctr
267,0.015507,26.555683,99
268,0.014860,28.276194,99
269,0.015715,26.438103,95
270,0.014504,22.460796,81
271,0.014927,29.698362,93
272,0.016057,25.762916,96
273,0.015466,25.845633,98
274,0.015449,19.484147,89
275,0.014898,25.628221,87
276,0.015372,22.470551,82
277,0.014956,27.746682,96
278,0.015480,30.626473,98
279,0.015274,27.207581,94
280,0.014113,16.888637,67
281,0.014924,27.099786,89
282,0.015221,27.459137,98
283,0.014373,32.630436,98
284,0.014316,28.072083,87
285,0.015242,23.593174,89
286,0.014586,23.486936,79
287,0.014912,27.806344,88
288,0.015170,25.019520,99
289,0.015072,29.408694,100
290,0.013835,33.784380,92
291,0.015023,22.934537,87
292,0.014051,20.620318,71
293,0.015113,17.245048,66
294,0.015236,27.953974,100
295,0.014295,26.412908,87
296,0.015776,23.532620,94
297,0.015274,19.124103,83
298,0.015306,26.597649,98
299,0.016025,27.836638,100
300,0.014530,31.085629,100
301,0.014739,29.823987,99
302,0.015671,29.737995,94
303,0.015098,30.527765,95
304,0.015129,27.909629,84
305,0.014183,26.931814,77
306,0.022053,23.757971,80
307,0.015524,29.562533,102
308,0.014252,19.317101,71
309,0.016173,23.114637,91
310,0.015268,21.193320,79
311,0.014987,30.953953,97
312,0.016116,27.896318,106
313,0.015384,28.865530,100
314,0.014140,21.149676,85
315,0.015647,27.671895,100
316,0.014959,26.129682,88
317,0.015296,26.340688,94
318,0.014934,20.833265,76
319,0.014835,28.542781,89
320,0.016250,27.556440,103
321,0.015787,24.812556,94
322,0.014539,21.174769,84
323,0.014312,31.766819,90
324,0.016477,28.572342,86
325,0.015098,31.704145,97
326,0.013851,33.118826,91
327,0.014149,20.369020,75
328,0.014334,24.001429,86
329,0.016212,25.269899,98
330,0.015151,26.521625,98
331,0.015171,27.411746,96
332,0.015132,20.801837,79
333,0.013758,31.020990,86
334,0.015559,25.509335,94
335,0.016419,28.029759,103
336,0.015619,25.083614,93
337,0.014784,23.474739,84
338,0.015256,25.698497,88
339,0.015389,25.850552,93
340,0.015178,28.920604,99
341,0.014307,23.307303,79
342,0.014943,27.261975,86
343,0.014360,19.977746,75
344,0.015766,19.001598,86
345,0.014952,24.814248,93
346,0.014234,29.186091,89
347,0.015558,31.154757,99
348,0.014384,15.606378,67
349,0.014756,29.276715,98
350,0.014628,29.719708,94
351,0.013600,32.429667,91
352,0.015090,28.526879,95
353,0.015650,30.694463,96
354,0.016290,29.726594,103
355,0.015475,22.748751,71
356,0.015318,25.333555,90
357,0.013917,30.634454,92
358,0.015562,24.098168,82
359,0.014667,27.291210,87
360,0.016987,25.472020,102
361,0.017143,30.330658,107
362,0.016200,24.050711,90
363,0.014778,32.590024,96
364,0.015149,22.062819,84
365,0.015681,25.097407,97
366,0.014025,27.548883,96
367,0.013971,16.460041,67
368,0.013802,31.592331,86
369,0.014211,26.852725,83
370,0.015784,28.100354,102
371,0.015215,28.395207,93
372,0.016478,24.862224,93
373,0.015321,26.698852,94
374,0.015590,25.185237,98
375,0.015233,22.200075,87
376,0.015555,30.887047,98
377,0.014883,18.323480,72
378,0.015561,26.005313,97
379,0.014966,26.693666,95
380,0.014864,23.174211,84
381,0.016103,25.516227,101
382,0.014601,27.499472,85
383,0.016033,26.759898,99
384,0.016155,19.603704,89
385,0.014721,17.260233,68
386,0.016133,20.723977,86
387,0.015240,34.459355,97
388,0.015188,23.629472,93
389,0.015051,21.731725,85
390,0.015043,30.248398,92
391,0.014718,24.542785,87
392,0.014852,29.398614,95
393,0.015024,28.627131,83
394,0.014389,23.105410,73
395,0.014880,30.206565,92
396,0.015207,33.234740,98
397,0.015608,18.208557,77
398,0.016753,25.470453,98
399,0.015907,28.981156,95
400,0.014565,28.550181,101
401,0.015739,24.167549,96
402,0.015001,30.512848,98
403,0.014493,28.416172,93
404,0.015159,26.871409,85
405,0.016245,26.874532,97
406,0.015449,27.968002,88
407,0.015806,20.190608,86
408,0.015988,29.650960,98
409,0.015575,17.620184,88
410,0.015973,26.417184,99
411,0.016130,29.298248,97
412,0.014667,23.960434,75
413,0.014829,27.631310,96
414,0.015780,18.796545,85
415,0.014927,24.717444,91
416,0.016047,26.707788,102
417,0.014718,17.072465,70
418,0.014643,20.276977,85
419,0.016195,27.149943,101
420,0.014979,24.636996,92
421,0.015239,28.981691,98
422,0.014917,26.080786,88
423,0.015702,27.015509,94
424,0.014685,27.038535,81
425,0.015827,26.251675,91
426,0.014664,22.297341,79
427,0.016375,24.897854,100
428,0.015075,19.363579,83
429,0.015481,28.182431,93
430,0.015737,23.325727,91
431,0.015573,20.075964,84
432,0.015169,26.862200,91
433,0.014799,31.759120,96
434,0.015728,27.672380,88
435,0.014919,29.731261,84
436,0.014647,20.889355,76
437,0.014402,35.746350,97
438,0.014151,21.196269,72
439,0.015920,29.176626,101
440,0.015761,23.264340,90
441,0.014846,24.918880,88
442,0.015644,29.204450,103
443,0.015342,28.561501,97
444,0.014783,26.505797,80
445,0.015449,27.973594,99
446,0.015803,27.707408,99
447,0.015042,27.583724,88
448,0.015716,23.726000,87
449,0.015866,23.686260,89
450,0.013973,30.628825,90
451,0.014550,31.920481,97
452,0.014408,28.103164,86
453,0.071680,28.007301,98
454,0.014176,27.725410,76
455,0.014719,31.696456,90
456,0.015659,25.239746,87
457,0.015917,26.646532,94
458,0.015120,31.275834,101
459,0.016309,22.694346,99
460,0.016218,25.309219,93
461,0.016013,21.533702,89
462,0.015785,21.345934,91
463,0.015031,23.048202,88
464,0.014734,30.329908,100
465,0.015913,22.963841,90
466,0.015064,22.705163,86
467,0.015204,29.771130,91
468,0.014576,25.992762,86
469,0.015601,26.460939,97
470,0.014968,26.239580,93
471,0.013098,36.249656,87
472,0.015706,24.326357,83
473,0.015180,22.362855,89
474,0.014946,32.831348,100
475,0.014239,22.468621,83
476,0.016112,23.646172,97
477,0.014570,24.684883,91
478,0.015384,19.575179,86
479,0.015892,25.580874,102
480,0.015001,23.195590,86
481,0.015044,20.689710,85
482,0.016376,25.440354,100
483,0.015463,19.812583,89
484,0.015186,27.239618,88
485,0.015087,27.734439,92
486,0.014961,30.187392,97
487,0.015043,23.299504,87
488,0.015865,19.605183,78
489,0.014636,28.851397,87
490,0.015078,28.503547,90
491,0.014044,30.847978,98
492,0.015007,20.303662,81
493,0.015437,27.711302,97
494,0.015215,20.903535,87
495,0.015133,20.603042,78
496,0.014765,21.713920,73
497,0.015434,27.726749,102
498,0.015287,22.520883,87
499,0.015502,24.677666,84
500,0.015148,28.061567,89
501,0.015385,25.578261,88
502,0.014615,29.454293,94
503,0.015272,18.052664,86
504,0.015232,28.589501,100
505,0.014939,25.497221,92
506,0.014649,30.305198,90
507,0.014226,30.145961,89
508,0.015002,26.601293,93
509,0.014799,24.160753,95
510,0.014506,30.521118,97
511,0.014984,22.542182,93
512,0.015034,24.110455,87
513,0.014733,15.836974,73
514,0.015398,30.376952,101
515,0.015241,29.774747,100
516,0.014725,20.815936,80
517,0.014467,19.485357,77
518,0.015174,25.494587,83
519,0.014936,30.349175,94
520,0.014229,21.447257,83
521,0.013811,34.804800,96
522,0.013850,25.280970,86
523,0.015575,27.073608,93
524,0.014427,26.289256,89
525,0.014960,26.527649,98
526,0.014444,26.366002,86
527,0.015227,24.317543,95
528,0.016607,25.436788,102
529,0.015268,25.928217,93
530,0.015168,30.107851,93
531,0.015028,27.092091,90
532,0.014889,27.530302,96
533,0.012958,37.056302,88
