rep,run_t,avg_speed,train_ctr
551,0.013890,15.554505,67
552,0.015083,19.476505,77
553,0.013270,16.213882,67
554,0.013490,15.498483,66
555,0.013266,15.529773,67
556,0.014144,20.523468,66
557,0.014141,16.348946,68
558,0.013601,16.311096,67
559,0.013938,17.888809,66
560,0.014060,17.229760,67
561,0.013649,18.932012,66
562,0.013782,15.422061,67
563,0.013585,15.435504,66
564,0.013859,16.492241,66
565,0.013811,17.375595,67
566,0.013548,15.389162,67
567,0.014188,16.554721,67
568,0.013943,16.328101,66
569,0.015550,23.388427,93
570,0.013703,15.604059,66
571,0.013162,16.651410,66
572,0.014876,22.269397,81
573,0.014209,19.070151,69
574,0.014007,16.505516,67
575,0.014437,15.971423,67
576,0.015167,18.740529,70
577,0.013565,15.678014,66
578,0.014032,17.868151,66
579,0.013882,15.495966,71
580,0.013576,15.491349,67
581,0.013497,15.811397,67
582,0.014247,16.168746,66
583,0.015019,22.026303,79
584,0.013387,17.814400,66
585,0.014401,15.423980,71
586,0.013868,17.430069,67
587,0.013417,16.603749,66
588,0.014629,17.112170,73
589,0.014920,16.690771,80
590,0.014697,23.161179,84
591,0.013371,15.799946,67
592,0.013674,17.415404,67
593,0.014161,17.074702,67
594,0.013866,15.720719,67
595,0.013397,17.696645,67
596,0.014374,22.637604,78
597,0.014130,16.302889,67
598,0.015028,16.637490,73
599,0.013569,16.722780,67
600,0.014115,18.901674,70
601,0.014531,16.428199,69
602,0.013444,16.769671,66
603,0.013748,18.002635,67
604,0.013745,16.733867,66
605,0.013921,15.726731,67
606,0.015354,18.724085,85
607,0.014569,15.543537,67
608,0.013911,17.607674,69
609,0.013773,16.683956,66
610,0.014617,17.769247,73
611,0.014059,16.034975,67
612,0.013421,15.365566,67
613,0.013974,17.796223,68
614,0.014865,25.838922,86
615,0.014352,16.738434,68
616,0.013454,16.026627,67
617,0.013766,17.471949,66
618,0.014344,18.173699,70
619,0.013820,16.286040,66
620,0.013389,15.438637,67
621,0.013662,15.957665,67
622,0.013258,15.371857,67
623,0.014315,19.224846,70
624,0.015151,18.931080,82
625,0.013348,16.094970,66
626,0.015276,21.456984,83
627,0.014418,18.288127,71
628,0.013914,17.300691,66
629,0.014166,15.535490,67
630,0.014154,17.211418,66
631,0.013905,21.689885,70
632,0.014138,16.630263,68
633,0.014449,18.539669,72
634,0.013559,16.143549,67
635,0.014146,16.268726,66
636,0.014263,19.581040,76
637,0.014063,20.372618,69
638,0.014056,16.293616,68
639,0.013216,19.265160,69
640,0.013386,17.046956,66
641,0.013802,15.604062,69
642,0.014740,19.660165,71
643,0.014134,15.808927,67
644,0.013999,15.810747,72
645,0.015008,17.541394,76
646,0.014556,19.089398,71
647,0.013817,16.126678,66
648,0.015555,17.632799,84
649,0.013861,15.598331,66
650,0.013004,15.560335,67
651,0.014275,17.836059,75
652,0.013521,16.204935,66
653,0.015234,18.373390,77
654,0.013089,15.381415,66
655,0.014103,17.827622,67
656,0.013740,15.632077,67
657,0.013089,15.485950,67
658,0.013764,15.388446,67
659,0.014112,17.708440,67
660,0.013278,15.567644,67
661,0.013980,16.536555,68
662,0.013331,15.436116,67
663,0.013762,18.023323,67
664,0.014059,19.249993,67
665,0.013819,17.842357,66
666,0.012901,16.526599,66
667,0.013097,18.348311,70
668,0.013709,15.450391,67
669,0.013895,15.903213,69
670,0.013728,16.177315,66
671,0.013522,15.456701,67
672,0.013510,16.320097,66
673,0.014966,16.815992,77
674,0.016192,18.773094,92
675,0.013849,15.844074,66
676,0.015664,22.206758,89
677,0.014375,17.705809,75
678,0.013754,17.722282,66
679,0.013526,16.964074,66
680,0.014149,16.054728,71
681,0.014333,17.203395,71
682,0.013470,15.917346,66
683,0.014475,16.777457,70
684,0.014058,15.944696,66
685,0.014208,18.381987,70
686,0.014020,16.473849,66
687,0.013983,17.005661,66
688,0.013656,15.745695,66
689,0.013582,17.326582,67
690,0.015367,23.018428,89
691,0.013314,16.395673,67
692,0.013737,15.420560,67
693,0.014859,18.585262,81
694,0.014106,16.368652,67
695,0.014364,20.863918,75
696,0.013676,15.441566,66
697,0.013850,17.618368,71
698,0.013730,16.037140,66
699,0.014572,16.590936,71
700,0.013695,15.437676,66
701,0.014286,16.026625,71
702,0.013989,21.381968,78
703,0.013669,16.016071,66
704,0.013474,15.594891,67
705,0.013739,16.285196,67
706,0.013275,15.970026,66
707,0.013584,15.691199,66
708,0.015752,20.091194,85
709,0.014457,18.556970,74
710,0.013520,15.593142,67
711,0.014535,24.327719,93
712,0.013053,15.717572,67
713,0.014943,17.145330,80
714,0.014761,18.983801,70
715,0.015154,20.516043,77
716,0.014159,17.804828,70
717,0.013558,16.488295,67
718,0.016940,23.177664,104
719,0.015179,22.378972,82
720,0.013488,16.089420,67
721,0.013788,17.046858,65
722,0.013806,17.645281,68
723,0.013505,16.481309,66
724,0.013780,16.043073,67
725,0.013880,17.195939,71
726,0.013487,16.145400,67
727,0.014152,15.891584,68
728,0.013469,15.467689,66
729,0.014683,17.172046,79
730,0.014235,16.225728,69
731,0.013759,16.078894,67
732,0.013542,15.436235,66
733,0.014007,16.377527,66
734,0.014196,17.007426,66
735,0.013373,15.443576,66
736,0.014547,16.163015,70
737,0.014467,16.440432,73
738,0.013733,15.370542,66
739,0.014657,18.124610,73
740,0.013480,15.946321,66
741,0.013846,16.061813,67
742,0.014012,15.559300,72
743,0.014437,17.334270,72
744,0.013584,18.459132,66
745,0.013612,16.018845,66
746,0.013353,15.787941,67
747,0.013678,15.843189,67
748,0.013608,15.435199,66
749,0.014086,17.655143,69
750,0.014790,18.683154,78
751,0.013176,15.651906,66
752,0.014277,18.470095,71
753,0.015061,19.441369,79
754,0.014241,16.314729,67
755,0.015550,16.569283,84
756,0.014534,16.760032,72
757,0.014414,18.824582,70
758,0.013225,18.060726,67
759,0.013415,15.399896,67
760,0.014744,16.065502,67
761,0.014272,16.920006,70
762,0.013760,16.854809,66
763,0.013729,15.433774,67
764,0.014318,18.464221,70
765,0.013435,17.063083,67
766,0.013349,15.368810,67
767,0.013388,15.383521,66
768,0.013470,16.572586,67
769,0.013427,15.527577,67
770,0.014511,17.684857,72
771,0.014747,22.974740,82
772,0.014450,18.917156,73
773,0.014720,18.153046,74
774,0.014172,17.393767,67
775,0.013707,16.075057,67
776,0.014446,16.507935,72
777,0.013200,15.812455,67
778,0.013238,15.676247,66
779,0.014508,19.869775,75
780,0.013837,17.875855,70
781,0.013691,15.771416,67
782,0.014778,17.772256,73
783,0.015383,23.425507,84
784,0.014166,19.034822,69
785,0.014139,16.144075,66
786,0.014761,17.041178,73
787,0.014241,17.087944,66
788,0.014784,23.610830,90
789,0.013553,15.782351,67
790,0.013905,16.052050,67
791,0.013671,16.787463,66
792,0.014429,18.942249,69
793,0.014213,16.145568,67
794,0.013149,18.651240,66
795,0.013381,15.694826,66
796,0.013839,16.082468,67
797,0.013239,16.611830,66
798,0.015208,23.605471,86
799,0.013812,16.057218,66
800,0.013926,15.852143,67
801,0.013701,17.430631,66
802,0.013879,16.256995,66
803,0.013328,16.179607,67
804,0.013785,16.273329,67
805,0.014079,15.974490,67
806,0.013508,15.946858,66
807,0.013774,17.813063,67
808,0.014460,19.348620,69
809,0.014122,16.513485,67
810,0.014074,16.431341,66
811,0.013435,16.128085,67
812,0.014600,16.532210,66
813,0.014241,19.563358,73
814,0.013792,15.499642,66
815,0.014157,25.111104,80
816,0.014593,20.654280,77
