constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id,min_length,max_length
dl_36,24,exit_to_Brisbane,24,19,0.44,0
dl_36,23,exit_to_Brisbane,23,17,0.44,0
dl_36,22,Wyreema_exit,22,19,0.44,0
dl_36,20,exit_to_Brisbane,20,16,0.44,0
dl_36,17,Wyreema_exit,17,15,0.44,0
dl_36,18,Gowrie_exit,18,16,0.44,0
dl_36,21,Wyreema_exit,22,19,0.44,0
dl_36,26,Gowrie_exit,26,21,0.44,0
dl_36,35,exit_to_Brisbane,35,28,0.44,0
dl_36,27,exit_to_Brisbane,27,21,0.44,0
dl_37,9,,,,,
dl_37,26,Gowrie_exit,26,21,0.44,0
dl_37,25,exit_to_Brisbane,25,20,0.44,0
dl_37,27,exit_to_Brisbane,27,21,0.44,0
dl_37,23,exit_to_Brisbane,23,17,0.44,0
dl_37,22,Wyreema_exit,22,19,0.44,0
dl_37,20,exit_to_Brisbane,20,16,0.44,0
dl_37,17,Wyreema_exit,17,15,0.44,0
dl_37,18,Gowrie_exit,18,16,0.44,0
dl_37,21,Wyreema_exit,22,19,0.44,0
dl_37,35,exit_to_Brisbane,35,28,0.44,0
dl_38,6,,,,,
dl_38,24,exit_to_Brisbane,24,19,0.44,0
dl_38,23,exit_to_Brisbane,23,17,0.44,0
dl_38,22,Wyreema_exit,22,19,0.44,0
dl_38,20,exit_to_Brisbane,20,16,0.44,0
dl_38,17,Wyreema_exit,17,15,0.44,0
dl_38,18,Gowrie_exit,18,16,0.44,0
dl_38,21,Wyreema_exit,22,19,0.44,0
dl_39,2,,,,,
dl_39,28,Gowrie_exit,28,23,0.44,0
dl_39,159,exit_to_Brisbane,159,119,0.44,0
dl_39,158,exit_to_Brisbane,158,119,0.44,0
dl_40,8,,,,,
dl_40,26,Gowrie_exit,26,21,0.44,0
dl_40,25,exit_to_Brisbane,25,20,0.44,0
dl_40,27,exit_to_Brisbane,27,21,0.44,0
dl_40,23,exit_to_Brisbane,23,17,0.44,0
dl_40,22,Wyreema_exit,22,19,0.44,0
dl_40,20,exit_to_Brisbane,20,16,0.44,0
dl_40,17,Wyreema_exit,17,15,0.44,0
dl_40,18,Gowrie_exit,18,16,0.44,0
dl_40,21,Wyreema_exit,22,19,0.44,0
dl_41,8,,,,,
dl_41,24,exit_to_Brisbane,24,19,0.44,0
dl_41,20,exit_to_Brisbane,20,16,0.44,0
dl_41,22,Wyreema_exit,22,19,0.44,0
dl_41,26,Gowrie_exit,26,21,0.44,0
dl_41,25,exit_to_Brisbane,25,20,0.44,0
